bucket,count,biomass,Container,1.000,2.000,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000,23.000,24.000,25.000
44,34,1.558,P,0.123,0.121,0.109,0.030,0.036,0.060,0.038,0.030,0.039,0.049,0.056,0.072,0.041,0.059,0.091,0.065,0.042,0.037,0.058,0.055,,,,,
47,13,0.441,B,0.028,0.010,0.017,0.032,0.064,0.023,0.017,0.014,0.033,0.070,0.069,0.041,0.023,,,,,,,,,,,,
48,35,1.712,B,0.026,0.027,0.034,0.029,0.032,0.034,0.060,0.048,0.034,0.050,0.075,0.055,0.063,0.031,0.032,0.119,0.084,0.054,0.061,0.038,,,,,
49,3,0.028,,0.022,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,
51,12,0.402,B,0.025,0.020,0.022,0.020,0.050,0.032,0.052,0.035,0.051,0.020,0.042,0.022,0.008,0.003,,,,,,,,,,,
55,33,2.750,,0.210,0.175,0.091,0.099,0.087,0.027,0.031,0.019,0.036,0.047,0.053,0.077,0.086,0.099,0.124,0.098,0.087,0.038,0.021,0.029,,,,,
59,9,0.197,B,0.001,0.036,0.004,0.053,0.017,0.023,0.023,0.023,0.017,,,,,,,,,,,,,,,,
60,6,0.164,B,0.017,0.022,0.025,0.028,0.042,0.030,,,,,,,,,,,,,,,,,,,
63,31,0.978,P,0.088,0.036,0.038,0.070,0.061,0.033,0.045,0.067,0.037,0.026,0.040,0.031,0.031,0.031,0.019,0.022,0.017,0.026,0.018,0.007,,,,,
65,29,1.157,p,0.049,0.122,0.030,0.034,0.027,0.043,0.044,0.040,0.036,0.028,0.131,0.111,0.021,0.034,0.050,0.027,0.040,0.054,0.044,0.023,,,,,
66,31,0.946,p,0.030,0.017,0.027,0.006,0.051,0.055,0.023,0.027,0.032,0.038,0.037,0.027,0.068,0.029,0.015,0.038,0.023,0.045,0.015,0.036,,,,,
67,15,0.283,p,0.028,0.026,0.015,0.050,0.014,0.023,0.022,0.035,0.011,0.016,0.022,0.006,0.007,0.001,0.007,,,,,,,,,,
69,34,1.491,p,0.084,0.067,0.051,0.021,0.049,0.037,0.030,0.060,0.058,0.035,0.079,0.032,0.031,0.061,0.049,0.050,0.042,0.047,0.090,0.030,,,,,
70,33,1.832,P,0.152,0.104,0.102,0.098,0.078,0.047,0.081,0.064,0.061,0.053,0.055,0.052,0.058,0.049,0.044,0.038,0.044,0.041,0.047,0.029,,,,,
71,1,0.050,P,0.050,,,,,,,,,,,,,,,,,,,,,,,,
73,12,0.467,B,0.020,0.031,0.025,0.098,0.033,0.043,0.014,0.024,0.037,0.057,0.050,0.035,,,,,,,,,,,,,
74,11,0.655,,0.092,0.067,0.027,0.044,0.071,0.038,0.072,0.068,0.092,0.063,0.021,,,,,,,,,,,,,,
75,40,2.171,B,0.077,0.056,0.044,0.040,0.143,0.044,0.025,0.079,0.028,0.060,0.088,0.047,0.088,0.050,0.062,0.058,0.029,0.047,0.085,0.024,,,,,
76,34,1.518,B,0.007,0.072,0.009,0.096,0.046,0.030,0.041,0.047,0.062,0.042,0.097,0.031,0.049,0.037,0.069,0.093,0.053,0.092,0.036,0.033,,,,,
78,32,1.422,B,0.041,0.038,0.055,0.068,0.021,0.026,0.030,0.027,0.031,0.042,0.072,0.055,0.063,0.019,0.012,0.009,0.071,0.096,0.027,0.099,,,,,
82,16,0.965,B,0.065,0.044,0.088,0.054,0.098,0.077,0.053,0.090,0.064,0.049,0.040,0.074,0.036,0.066,0.037,0.030,,,,,,,,,
83,11,0.242,B,0.018,0.017,0.029,0.017,0.026,0.020,0.023,0.016,0.022,0.026,0.028,,,,,,,,,,,,,,
84,34,1.323,B,0.044,0.060,0.049,0.030,0.031,0.084,0.062,0.047,0.051,0.025,0.077,0.051,0.023,0.017,0.075,0.040,0.070,0.033,0.034,0.023,,,,,
86,35,1.178,B,0.072,0.067,0.058,0.055,0.055,0.081,0.047,0.033,0.029,0.048,0.036,0.058,0.035,0.012,0.041,0.027,0.031,0.023,0.030,0.013,,,,,
87,7,0.300,B,0.077,0.021,0.033,0.049,0.064,0.030,0.026,,,,,,,,,,,,,,,,,,
91,38,2.035,B,0.082,0.075,0.087,0.057,0.090,0.065,0.115,0.084,0.158,0.109,0.089,0.088,0.056,0.076,0.090,0.070,0.060,0.063,0.100,0.040,,,,,
96,22,0.838,,0.033,0.041,0.076,0.023,0.076,0.036,0.096,0.042,0.077,0.023,0.078,0.034,0.058,0.078,0.019,0.021,,,,,,,,,
103,33,1.570,B,0.021,0.034,0.034,0.071,0.034,0.072,0.099,0.105,0.055,0.047,0.067,0.033,0.170,0.017,0.019,0.070,0.122,0.094,0.022,0.041,,,,,
118,36,1.830,B,0.057,0.036,0.061,0.059,0.033,0.049,0.059,0.091,0.061,0.076,0.032,0.033,0.021,0.053,0.037,0.039,0.146,0.053,0.088,0.092,0.032,0.035,0.054,0.047,0.018
122,36,1.427,p,0.066,0.092,0.113,0.031,0.027,0.077,0.016,0.019,0.020,0.045,0.026,0.029,0.015,0.023,0.025,0.077,0.037,0.069,0.070,0.030,,,,,
125,35,2.011,B,0.075,0.179,0.084,0.050,0.106,0.040,0.078,0.049,0.031,0.025,0.044,0.057,0.104,0.074,0.021,0.043,0.092,0.010,0.009,0.104,,,,,
126,39,1.974,B,0.045,0.025,0.028,0.042,0.032,0.041,0.007,0.036,0.054,0.134,0.073,0.058,0.022,0.089,0.057,0.053,0.099,0.045,0.046,0.130,,,,,
127,3,0.082,,0.040,0.018,0.024,,,,,,,,,,,,,,,,,,,,,,
128,13,0.439,P,0.090,0.042,0.037,0.031,0.032,0.044,0.034,0.024,0.030,0.013,0.025,0.021,0.016,,,,,,,,,,,,
134,28,1.910,P,0.040,0.078,0.047,0.061,0.032,0.062,0.046,0.110,0.134,0.061,0.036,0.041,0.025,0.048,0.072,0.076,0.068,0.062,0.129,0.081,,,,,
135,32,0.692,,0.037,0.032,0.019,0.070,0.021,0.016,0.020,0.069,0.102,0.023,0.022,0.030,0.017,0.027,0.022,0.018,0.029,0.028,0.014,0.038,,,,,
136,35,3.602,P,0.213,0.051,0.027,0.095,0.090,0.096,0.105,0.124,0.082,0.068,0.108,0.090,0.071,0.144,0.098,0.173,0.127,0.051,0.109,0.136,,,,,
140,9,0.225,B,0.016,0.023,0.041,0.031,0.024,0.019,0.021,0.019,0.031,,,,,,,,,,,,,,,,
142,56,1.608,,0.075,0.031,0.024,0.039,0.054,0.077,0.078,0.038,0.033,0.018,0.053,0.009,0.074,0.028,0.042,0.033,0.017,0.024,0.075,0.127,,,,,
144,16,0.375,,0.031,0.024,0.033,0.013,0.026,0.025,0.030,0.030,0.023,0.020,0.020,0.023,0.023,0.028,0.010,0.016,,,,,,,,,
