Type,Bucket,bag short,final,comments,real bag,biomass,
mm0.5,16,,3.09,,2.56,0.53,
mm0.5,17,,3.23,,2.98,0.26,
mm0.5,18,,3.18,,2.97,0.21,
mm0.5,19,,3.06,,2.98,0.09,
mm0.5,20,,3.15,,2.97,0.18,
mm0.5,21,,3.01,,2.99,0.02,
mm0.5,22,,3.11,,2.99,0.11,
mm0.5,23,,3.13,,3.02,0.10,
mm0.5,24,,3.13,,3.00,0.13,
mm0.5,25,,3.04,,2.99,0.05,
mm0.5,26,,3.04,,2.99,0.05,
mm0.5,27,,3.40,,2.98,0.42,
mm0.5,28,,3.04,,2.98,0.06,
mm0.5,29,,3.06,,2.98,0.08,
mm0.5,30,,3.07,,2.99,0.08,
mm0.5,31,,3.02,,2.98,0.05,
mm0.5,32,,3.07,,2.99,0.08,
mm0.5,33,,2.98,,2.98,0.00,
mm0.5,34,,3.02,,2.97,0.05,
mm0.5,35,,2.98,,2.95,0.03,
mm0.5,36,,3.00,,2.98,0.02,
mm0.5,37,,3.06,,2.97,0.08,
mm0.5,38,,3.17,,2.98,0.20,
mm0.5,39,,2.99,,2.97,0.02,
mm0.5,40,,3.02,,3.01,0.01,
mm0.5,41,,3.04,,2.99,0.05,
mm0.5,42,,3.07,,2.96,0.11,
mm0.5,43,,3.02,,3.00,0.02,
mm0.5,44,,3.04,,2.93,0.10,
mm0.5,45,,3.06,,2.98,0.08,
mm0.5,46,,3.13,,2.97,0.16,
mm0.5,47,,3.07,,2.96,0.11,
mm0.5,48,,3.08,,2.97,0.11,
mm0.5,49,,3.20,,2.99,0.20,
mm0.5,50,,3.11,,2.96,0.15,
mm0.5,51,,3.14,,2.99,0.16,
mm0.5,52,,3.28,,3.03,0.25,
mm0.5,53,,3.04,,2.96,0.08,
mm0.5,54,,3.07,,2.96,0.11,
mm0.5,55,,2.99,,2.99,0.01,
mm0.5,56,,3.08,,2.98,0.10,
mm0.5,57,,3.98,,3.02,0.97,
mm0.5,58,,3.21,,3.02,0.19,
mm0.5,59,,3.17,,2.98,0.19,
mm0.5,60,,3.16,,2.97,0.19,
mm0.5,61,,3.16,,2.92,0.24,
mm0.5,62,,3.11,,2.92,0.20,
mm0.5,63,,3.11,,2.91,0.19,
mm0.5,64,,3.09,,2.92,0.17,
mm0.5,65,,3.05,,2.92,0.12,
mm0.5,66,,3.07,,2.93,0.14,
mm0.5,67,,3.15,,2.95,0.20,
mm0.5,68,,3.20,,2.92,0.28,
mm0.5,69,,3.12,,2.97,0.15,
mm0.5,70,,3.11,,2.93,0.18,
mm0.5,71,,3.17,,2.92,0.25,
mm0.5,72,,3.06,,2.92,0.14,
mm0.5,73,,3.04,,2.93,0.11,
mm0.5,74,,3.00,,2.93,0.07,
mm0.5,75,,3.05,,2.91,0.14,
mm0.5,76,,3.12,,2.91,0.21,
mm0.5,77,,3.11,,2.92,0.19,
mm0.5,78,,3.69,,2.92,0.78,
mm0.5,79,,3.71,,2.90,0.81,
mm0.5,80,,4.00,,2.90,1.10,
mm0.5,81,,4.22,,2.91,1.31,
mm0.5,82,,3.76,,2.93,0.83,
mm0.5,83,,3.85,,2.91,0.94,
mm0.5,84,,3.68,,2.92,0.76,
mm0.5,85,,3.16,,2.92,0.24,
mm0.5,86,,3.88,,2.92,0.96,
mm0.5,87,,3.67,,2.91,0.76,
mm0.5,88,,3.77,,2.92,0.86,
mm0.5,89,,3.83,,2.92,0.92,
mm0.5,90,,3.60,,2.94,0.67,
mm0.5,91,,3.14,,2.93,0.21,
mm0.5,92,,3.30,,2.91,0.39,
mm0.5,93,,3.20,,2.91,0.30,
mm0.5,94,,3.16,,2.90,0.26,
mm0.5,95,,3.43,,2.94,0.48,
mm0.5,96,,3.36,,2.92,0.44,
mm0.5,97,,3.37,,2.93,0.44,
mm0.5,98,,3.04,,2.91,0.13,
mm0.5,99,,3.13,,2.91,0.22,
mm0.5,100,,3.07,,2.95,0.11,
mm0.5,101,,3.10,,2.96,0.15,
mm0.5,102,,3.09,,2.96,0.13,
mm0.5,103,,3.06,,2.96,0.11,
mm0.5,104,,3.18,,2.98,0.21,
mm0.5,105,,3.09,,2.93,0.17,
mm0.5,106,,3.14,,2.94,0.20,
mm0.5,107,,3.20,,3.00,0.20,
mm0.5,108,,3.14,,2.97,0.17,
mm0.5,109,,3.12,,2.96,0.16,
mm0.5,110,,3.19,,2.97,0.22,
mm0.5,111,,3.19,,2.98,0.21,
mm0.5,112,,3.11,,2.91,0.19,
mm0.5,113,,3.09,,2.96,0.12,
mm0.5,114,,3.20,,2.93,0.26,
mm0.5,115,,3.04,,2.93,0.11,
mm0.5,116,,3.30,,2.93,0.38,
mm0.5,117,,3.12,,2.94,0.18,
mm0.5,118,,4.05,,2.91,1.14,
mm0.5,119,,4.04,,2.93,1.11,
mm0.5,120,,3.84,,2.94,0.90,
mm0.5,121,,3.82,,2.94,0.89,
mm0.5,122,,3.69,,2.93,0.75,
mm0.5,123,,3.77,,2.92,0.84,
mm0.5,124,,3.66,,2.97,0.69,
mm0.5,125,,5.18,,2.95,2.23,
mm0.5,126,,3.48,,2.95,0.53,
mm0.5,127,,3.67,,2.94,0.73,
mm0.5,128,,3.53,,2.95,0.59,
mm0.5,129,,3.97,,2.94,1.03,
mm0.5,130,,4.60,,2.94,1.66,
mm0.5,131,,4.12,,2.95,1.17,
mm0.5,132,,3.92,,2.96,0.96,
mm0.5,133,,3.89,,2.94,0.95,
mm0.5,134,,3.82,,2.96,0.87,
mm0.5,135,,3.76,,2.94,0.81,
mm0.5,136,,3.35,,2.94,0.42,
mm0.5,137,,3.70,,2.95,0.75,
mm0.5,138,,3.92,,2.96,0.96,
mm0.5,139,,3.75,,2.95,0.80,
mm0.5,140,,3.73,,2.95,0.77,
mm0.5,141,,3.99,,2.95,1.04,
mm0.5,142,,3.19,,2.95,0.24,
mm0.5,143,,3.84,,2.96,0.88,
mm0.5,144,,3.39,,2.94,0.45,
kelp,1,,3.01,,2.98,0.03,
kelp,3,,3.06,,2.95,0.11,
kelp,7,,3.03,,2.94,0.09,
kelp,8,,3.09,,2.97,0.12,
kelp,9,,2.99,,2.98,0.01,
kelp,11,,3.25,,3.00,0.25,
kelp,14,,3.07,,3.01,0.06,
kelp,15,,3.07,,2.98,0.09,
kelp,16,,3.17,,3.00,0.17,
kelp,17,,3.30,,2.96,0.34,
kelp,19,,3.06,,2.95,0.11,
kelp,20,,3.10,,2.95,0.15,
kelp,21,,2.96,,2.93,0.03,
kelp,22,,3.00,,2.92,0.07,
kelp,23,,3.14,,2.95,0.04,
kelp,24,,3.35,,2.98,0.16,
kelp,25,,3.00,,2.95,0.40,
kelp,27,,3.23,,2.96,0.04,
kelp,28,,2.99,,2.99,0.24,
kelp,29,,3.09,,2.94,0.05,
kelp,30,,3.04,,2.99,0.10,
kelp,32,,3.16,,2.93,0.10,
kelp,34,,3.06,,2.95,0.21,
kelp,35,,2.96,,2.94,0.12,
kelp,37,,3.07,,2.95,0.01,
kelp,39,,3.37,,2.93,0.14,
kelp,41,,3.24,,2.93,0.44,
kelp,42,,3.13,,2.92,0.33,
kelp,46,,3.20,,3.00,0.14,
kelp,47,,3.24,,2.93,0.27,
kelp,48,,3.34,,2.98,0.26,
kelp,49,,2.96,,2.93,0.41,
kelp,51,,3.09,,2.96,0.00,
kelp,52,,3.03,,2.96,0.13,
kelp,53,,3.10,,2.96,0.07,
kelp,56,,3.05,,2.93,0.17,
kelp,58,,3.77,,2.94,0.11,
kelp,60,,3.09,,2.99,0.77,
kelp,61,,3.68,,3.03,0.06,
kelp,62,,3.23,,2.99,0.69,
kelp,63,,3.38,,2.99,0.24,
kelp,65,,3.09,,2.99,0.40,
kelp,66,,3.22,,3.01,0.08,
kelp,67,,3.23,,2.98,0.24,
kelp,68,,3.32,,3.01,0.21,
kelp,70,,3.64,,3.02,0.30,
kelp,72,,3.34,,3.00,0.64,
kelp,73,,3.18,,3.00,0.35,
kelp,74,,3.26,,2.97,0.21,
kelp,75,,3.37,,2.99,0.27,
kelp,76,,3.13,,2.99,0.39,
kelp,77,,3.02,,3.02,0.11,
kelp,78,,3.33,,3.00,0.02,
kelp,80,,3.17,,3.01,0.32,
kelp,82,,3.12,,2.98,0.19,
kelp,85,,3.35,,3.00,0.12,
kelp,87,,3.33,,2.99,0.37,
kelp,89,,3.51,,2.97,0.35,
kelp,91,,3.34,,2.97,0.54,
kelp,92,,3.22,,2.99,0.35,
kelp,93,,3.16,,2.97,0.25,
kelp,95,,3.38,,2.96,0.19,
kelp,99,,3.02,,2.97,0.41,
kelp,100,,3.17,,2.94,0.09,
kelp,101,,3.16,,2.96,0.21,
kelp,103,,3.13,,2.94,0.21,
kelp,104,,3.10,,2.93,0.21,
kelp,105,,3.10,,3.00,0.11,
kelp,107,,3.04,,2.99,0.11,
kelp,108,,2.99,,2.92,0.11,
kelp,109,,3.25,,2.95,0.04,
kelp,114,,3.19,,2.96,0.29,
kelp,115,,3.03,,2.93,0.26,
kelp,116,,3.23,,2.95,0.08,
kelp,119,,3.62,,2.97,0.26,
kelp,120,,3.08,,2.94,0.67,
kelp,122,,3.02,,2.97,0.12,
kelp,123,,3.23,,2.96,0.06,
kelp,129,,3.15,,2.94,0.29,
kelp,130,,3.78,,2.96,0.19,
kelp,131,,3.45,,2.94,0.84,
kelp,132,,3.11,,2.97,0.48,
kelp,133,,3.07,,2.92,0.20,
kelp,134,,3.12,,2.92,0.15,
kelp,135,,3.20,,2.93,0.19,
kelp,136,,3.39,,2.94,0.25,
kelp,138,,3.20,,2.94,0.46,
kelp,139,,3.26,,2.93,0.27,
kelp,140,,3.30,,2.93,0.33,
kelp,141,,3.11,,2.95,0.35,
kelp,142,,3.62,,2.95,0.16,
kelp,144,,2.95,,2.92,0.70,
